timestamp,power
1613167200,113
1613168100,157
1613169000,120
1613169900,123
1613170800,98
1613171700,70
1613172600,36
1613173500,86
1613174400,61
1613175300,58
1613176200,45
1613177100,61
1613178000,46
1613178900,69
1613179800,73
1613180700,43
1613181600,78
1613182500,42
1613183400,76
1613184300,43
1613185200,60
1613186100,82
1613187000,48
1613187900,51
1613188800,78
1613189700,53
1613190600,74
1613191500,85
1613192400,74
1613193300,45
1613194200,98
1613195100,47
1613196000,108
1613196900,85
1613197800,92
1613198700,61
1613199600,88
1613200500,85
1613201400,78
1613202300,54
1613203200,160
1613204100,139
1613205000,80
1613205900,65
1613206800,76
1613207700,95
1613208600,75
1613209500,77
1613210400,75
1613211300,100
1613212200,117
1613213100,319
1613214000,107
1613214900,77
1613215800,66
1613216700,106
1613217600,143
1613218500,215
1613219400,260
1613220300,135
1613221200,149
1613222100,126
1613223000,157
1613223900,100
1613224800,207
1613225700,120
1613226600,102
1613227500,192
1613228400,152
1613229300,170
1613230200,176
1613231100,135
1613232000,165
1613232900,239
1613233800,460
1613234700,243
1613235600,176
1613236500,136
1613237400,165
1613238300,146
1613239200,193
1613240100,195
1613241000,135
1613241900,158
1613242800,213
1613243700,266
1613244600,220
1613245500,197
1613246400,221
1613247300,157
1613248200,198
1613249100,186
1613250000,152
1613250900,173
1613251800,136
1613252700,156
1613253600,136
1613254500,107
1613255400,125
1613256300,102
1613257200,63
1613258100,58
1613259000,74
1613259900,45
1613260800,73
1613261700,56
1613262600,53
1613263500,64
1613264400,50
1613265300,62
1613266200,48
1613267100,94
1613268000,82
1613268900,100
1613269800,79
1613270700,82
1613271600,97
1613272500,87
1613273400,109
1613274300,68
1613275200,77
1613276100,95
1613277000,82
1613277900,118
1613278800,140
1613279700,138
1613280600,96
1613281500,63
1613282400,58
1613283300,77
1613284200,74
1613285100,69
1613286000,58
1613286900,83
1613287800,98
1613288700,239
1613289600,90
1613290500,91
1613291400,75
1613292300,103
1613293200,341
1613294100,171
1613295000,344
1613295900,836
1613296800,629
1613297700,277
1613298600,87
1613299500,104
1613300400,96
1613301300,91
1613302200,111
1613303100,62
1613304000,95
1613304900,129
1613305800,70
1613306700,94
1613307600,90
1613308500,73
1613309400,105
1613310300,77
1613311200,98
1613312100,210
1613313000,86
1613313900,109
1613314800,170
1613315700,138
1613316600,185
1613317500,160
1613318400,193
1613319300,200
1613320200,194
1613321100,188
1613322000,177
1613322900,208
1613323800,396
1613324700,235
1613325600,154
1613326500,175
1613327400,176
1613328300,188
1613329200,172
1613330100,213
1613331000,196
1613331900,187
1613332800,208
1613333700,196
1613334600,201
1613335500,236
1613336400,152
1613337300,181
1613338200,149
1613339100,154
1613340000,133
1613340900,94
1613341800,87
1613342700,81
1613343600,61
1613344500,88
1613345400,73
1613346300,57
1613347200,62
1613348100,41
1613349000,74
1613349900,47
1613350800,96
1613351700,57
1613352600,55
1613353500,73
1613354400,45
1613355300,85
1613356200,44
1613357100,78
1613358000,69
1613358900,51
1613359800,79
1613360700,54
1613361600,73
1613362500,70
1613363400,117
1613364300,80
1613365200,79
1613366100,52
1613367000,79
1613367900,53
1613368800,88
1613369700,64
1613370600,87
1613371500,50
1613372400,60
1613373300,71
1613374200,73
1613375100,49
1613376000,211
1613376900,128
1613377800,71
1613378700,103
1613379600,70
1613380500,110
1613381400,76
1613382300,76
1613383200,242
1613384100,167
1613385000,102
1613385900,135
1613386800,66
1613387700,77
1613388600,63
1613389500,89
1613390400,87
1613391300,57
1613392200,71
1613393100,81
1613394000,68
1613394900,90
1613395800,81
1613396700,63
1613397600,94
1613398500,89
1613399400,99
1613400300,105
1613401200,76
1613402100,111
1613403000,124
1613403900,114
1613404800,120
1613405700,335
1613406600,532
1613407500,385
1613408400,200
1613409300,150
1613410200,165
1613411100,164
1613412000,147
1613412900,158
1613413800,151
1613414700,166
1613415600,185
1613416500,256
1613417400,240
1613418300,250
1613419200,235
1613420100,240
1613421000,239
1613421900,255
1613422800,197
1613423700,169
1613424600,199
1613425500,172
1613426400,169
1613427300,124
1613428200,113
1613429100,105
1613430000,86
1613430900,57
1613431800,41
1613432700,75
1613433600,48
1613434500,74
1613435400,51
1613436300,57
1613437200,87
1613438100,47
1613439000,81
1613439900,70
1613440800,55
1613441700,72
1613442600,62
1613443500,66
1613444400,88
1613445300,48
1613446200,83
1613447100,49
1613448000,83
1613448900,53
1613449800,119
1613450700,124
1613451600,83
1613452500,75
1613453400,85
1613454300,46
1613455200,85
1613456100,72
1613457000,88
1613457900,78
1613458800,74
1613459700,77
1613460600,66
1613461500,65
1613462400,112
1613463300,147
1613464200,78
1613465100,103
1613466000,52
1613466900,296
1613467800,275
1613468700,92
1613469600,124
1613470500,115
1613471400,286
1613472300,157
1613473200,81
1613474100,94
1613475000,126
1613475900,83
1613476800,83
1613477700,90
1613478600,95
1613479500,55
1613480400,82
1613481300,87
1613482200,73
1613483100,86
1613484000,152
1613484900,108
1613485800,58
1613486700,94
1613487600,94
1613488500,113
1613489400,116
1613490300,93
1613491200,115
1613492100,126
1613493000,138
1613493900,136
1613494800,139
1613495700,112
1613496600,224
1613497500,221
1613498400,150
1613499300,204
1613500200,186
1613501100,215
1613502000,256
1613502900,235
1613503800,233
1613504700,260
1613505600,220
1613506500,235
1613507400,231
1613508300,228
1613509200,205
1613510100,217
1613511000,170
1613511900,174
1613512800,132
1613513700,135
1613514600,131
1613515500,146
1613516400,89
1613517300,99
1613518200,77
1613519100,93
1613520000,91
1613520900,117
1613521800,69
1613522700,4
1613523600,44
1613524500,62
1613525400,127
1613526300,121
1613527200,70
1613528100,54
1613529000,74
1613529900,63
1613530800,74
1613531700,100
1613532600,60
1613533500,109
1613534400,59
1613535300,99
1613536200,53
1613537100,87
1613538000,82
1613538900,74
1613539800,211
1613540700,79
1613541600,75
1613542500,82
1613543400,83
1613544300,80
1613545200,72
1613546100,68
1613547000,68
1613547900,79
1613548800,96
1613549700,119
1613550600,76
1613551500,158
1613552400,68
1613553300,84
1613554200,103
1613555100,87
1613556000,96
1613556900,123
1613557800,84
1613558700,100
1613559600,133
1613560500,93
1613561400,86
1613562300,65
1613563200,72
1613564100,73
1613565000,162
1613565900,83
1613566800,123
1613567700,93
1613568600,119
1613569500,101
1613570400,134
1613571300,160
1613572200,144
1613573100,187
1613574000,160
1613574900,143
1613575800,129
1613576700,181
1613577600,133
1613578500,145
1613579400,385
1613580300,326
1613581200,141
1613582100,192
1613583000,218
1613583900,167
1613584800,156
1613585700,130
1613586600,155
1613587500,138
1613588400,158
1613589300,170
1613590200,171
1613591100,200
1613592000,188
1613592900,153
1613593800,176
1613594700,134
1613595600,127
1613596500,97
1613597400,90
1613598300,81
1613599200,102
1613600100,75
1613601000,69
1613601900,84
1613602800,79
1613603700,104
1613604600,93
1613605500,93
1613606400,81
1613607300,85
1613608200,86
1613609100,79
1613610000,125
1613610900,82
